area,diameter,width,height,shape_factor,circularity,cx,cy,time_step,real_time,velocity_y_raw,diameter_clean,shape_factor_clean,velocity_y_clean,circularity_clean,area_clean
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,0,0.0,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,1,0.001,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,2,0.002,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,3,0.003,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,4,0.004,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,449.0,4.0,5,0.005,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
134.0,13.061933202803933,28.0,8.0,0.2857142857142857,0.4529750304967746,449.0,4.0,6,0.006,0.0,13.061933202803933,0.2857142857142857,0.0,0.4529750304967746,134.0
135.0,13.110581167104948,28.0,8.0,0.2857142857142857,0.4563554411721237,449.0,4.0,7,0.007,500.0000000000002,13.110581167104948,0.2857142857142857,1.5158245029548803e-13,0.4563554411721237,135.0
139.0,13.303394180365686,28.0,9.0,0.32142857142857145,0.45736393895459315,449.0,5.0,8,0.008,499.9999999999998,13.303394180365686,0.32142857142857145,3.0316490059097606e-13,0.45736393895459315,139.0
144.0,13.540550005146152,28.0,9.0,0.32142857142857145,0.4738158792047584,449.0,5.0,9,0.009000000000000001,4.547473508864641e-13,13.540550005146152,0.32142857142857145,4.547473508864641e-13,0.4738158792047584,144.0
150.5,13.842779759955802,28.0,9.0,0.32142857142857145,0.4859472445803403,449.0,5.0,10,0.01,0.0,13.842779759955802,0.32142857142857145,0.0,0.4859472445803403,150.5
155.5,14.070847494245605,28.0,9.0,0.32142857142857145,0.5020916751483148,449.0,5.0,11,0.011,-4.547473508864641e-13,14.070847494245605,0.32142857142857145,-4.547473508864641e-13,0.5020916751483148,155.5
171.0,14.755472278097805,29.0,10.0,0.3448275862068966,0.4963265709629407,449.0,5.0,12,0.012,0.0,14.755472278097805,0.3448275862068966,0.0,0.4963265709629407,171.0
190.5,15.574085310927526,30.0,11.0,0.36666666666666664,0.517077244362012,449.0,5.0,13,0.013000000000000001,500.00000000000136,15.574085310927526,0.36666666666666664,500.00000000000136,0.517077244362012,190.5
216.0,16.583719174624104,31.0,12.0,0.3870967741935484,0.5316038491051518,449.0,6.0,14,0.014,500.00000000000045,16.583719174624104,0.3870967741935484,500.00000000000045,0.5316038491051518,216.0
250.5,17.859073490978144,33.0,13.0,0.3939393939393939,0.5327251383625052,449.0,6.0,15,0.015,499.99999999999864,17.859073490978144,0.3939393939393939,499.99999999999864,0.5327251383625052,250.5
291.5,19.265236237593868,35.0,14.0,0.4,0.5488079947661503,449.0,7.0,16,0.016,499.99999999999955,19.265236237593868,0.4,499.99999999999955,0.5488079947661503,291.5
347.5,21.03451311049222,39.0,16.0,0.41025641025641024,0.5232350332217686,449.0,7.0,17,0.017,499.99999999999955,21.03451311049222,0.41025641025641024,499.99999999999955,0.5232350332217686,347.5
419.0,23.09734550211416,43.0,17.0,0.3953488372093023,0.5307901286854062,449.0,8.0,18,0.018000000000000002,499.9999999999982,23.09734550211416,0.3953488372093023,499.9999999999982,0.5307901286854062,419.0
518.0,25.68147355921802,47.0,19.0,0.40425531914893614,0.5338186604783902,448.0,8.0,19,0.019,499.99999999999955,25.68147355921802,0.40425531914893614,499.99999999999955,0.5338186604783902,518.0
663.0,29.054394128245264,50.0,22.0,0.44,0.5777746143424889,448.0,9.0,20,0.02,1499.9999999999986,29.054394128245264,0.44,1499.9999999999986,0.5777746143424889,663.0
842.0,32.74244487919323,53.0,25.0,0.4716981132075472,0.6173978530454287,448.0,11.0,21,0.021,1499.9999999999982,32.74244487919323,0.4716981132075472,1499.9999999999982,0.6173978530454287,842.0
1038.5,36.36288309811897,56.0,27.0,0.48214285714285715,0.6518069576861958,447.0,12.0,22,0.022,1000.0000000000018,36.36288309811897,0.48214285714285715,1000.0000000000018,0.6518069576861958,1038.5
1252.0,39.926130666625134,59.0,30.0,0.5084745762711864,0.6626791009717218,448.0,13.0,23,0.023,1499.999999999999,39.926130666625134,0.5084745762711864,1499.999999999999,0.6626791009717218,1252.0
1466.0,43.203809699860365,62.0,32.0,0.5161290322580645,0.6745831576677974,448.0,15.0,24,0.024,1499.9999999999982,43.203809699860365,0.5161290322580645,1499.9999999999982,0.6745831576677974,1466.0
1710.0,46.66090035026251,66.0,35.0,0.5303030303030303,0.6775787525773286,448.0,16.0,25,0.025,999.9999999999982,46.66090035026251,0.5303030303030303,999.9999999999982,0.6775787525773286,1710.0
1980.0,50.20970323130403,69.0,38.0,0.5507246376811594,0.697200033574909,448.0,17.0,26,0.026000000000000002,1500.0000000000027,50.20970323130403,0.5507246376811594,1500.0000000000027,0.697200033574909,1980.0
2276.0,53.83208340587637,73.0,41.0,0.5616438356164384,0.7109785360249753,448.0,19.0,27,0.027,1500.0000000000036,53.83208340587637,0.5616438356164384,1500.0000000000036,0.7109785360249753,2276.0
2606.0,57.60262366923779,77.0,44.0,0.5714285714285714,0.7191306245766286,447.0,20.0,28,0.028,999.9999999999982,57.60262366923779,0.5714285714285714,999.9999999999982,0.7191306245766286,2606.0
2966.5,61.457831961897746,81.0,47.0,0.5802469135802469,0.7321895721173838,447.0,21.0,29,0.029,1500.0000000000018,61.457831961897746,0.5802469135802469,1500.0000000000018,0.7321895721173838,2966.5
3340.0,65.2121160476751,86.0,50.0,0.5813953488372093,0.7293905091087717,447.0,23.0,30,0.03,1500.0000000000055,65.2121160476751,0.5813953488372093,1500.0000000000055,0.7293905091087717,3340.0
3749.0,69.08961610265413,90.0,53.0,0.5888888888888889,0.7376971805047794,447.0,24.0,31,0.031,999.9999999999982,69.08961610265413,0.5888888888888889,999.9999999999982,0.7376971805047794,3749.0
4173.0,72.8918968073944,94.0,56.0,0.5957446808510638,0.7437059892111932,447.0,25.0,32,0.032,1499.9999999999982,72.8918968073944,0.5957446808510638,1499.9999999999982,0.7437059892111932,4173.0
4589.0,76.43884006700823,96.0,58.0,0.6041666666666666,0.7641468815917555,447.0,27.0,33,0.033,1499.9999999999982,76.43884006700823,0.6041666666666666,1499.9999999999982,0.7641468815917555,4589.0
5037.0,80.08312922726618,100.0,61.0,0.61,0.7655754247896205,447.0,28.0,34,0.034,1000.0,80.08312922726618,0.61,1499.9999999999982,0.7655754247896205,5037.0
