area,diameter,width,height,shape_factor,circularity,cx,cy,time_step,real_time,velocity_y_raw,diameter_clean,shape_factor_clean,velocity_y_clean,circularity_clean,area_clean
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,0,0.0,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,1,0.001,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,2,0.002,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,3,0.003,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,4,0.004,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
134.0,13.061933202803933,28.0,8.0,0.2857142857142857,0.4529750304967746,445.0,4.0,5,0.005,500.0000000000002,13.061933202803933,0.2857142857142857,0.0,0.4529750304967746,134.0
141.0,13.398760233979036,28.0,9.0,0.32142857142857145,0.46394471505465923,445.0,5.0,6,0.006,500.0000000000002,13.398760233979036,0.32142857142857145,0.0,0.46394471505465923,141.0
147.5,13.704117368456696,28.0,9.0,0.32142857142857145,0.47626058672204846,445.0,5.0,7,0.007,0.0,13.704117368456696,0.32142857142857145,0.0,0.47626058672204846,147.5
153.5,13.980066885278035,28.0,9.0,0.32142857142857145,0.4956339006184866,445.0,5.0,8,0.008,0.0,13.980066885278035,0.32142857142857145,0.0,0.4956339006184866,153.5
164.5,14.472315126092793,29.0,10.0,0.3448275862068966,0.4860765865929585,445.0,5.0,9,0.009000000000000001,4.547473508864641e-13,14.472315126092793,0.3448275862068966,4.547473508864641e-13,0.4860765865929585,164.5
189.5,15.533154661153457,30.0,11.0,0.36666666666666664,0.5143629281186418,445.0,5.0,10,0.01,500.00000000000045,15.533154661153457,0.36666666666666664,500.00000000000045,0.5143629281186418,189.5
216.0,16.583719174624104,31.0,12.0,0.3870967741935484,0.5316038491051518,445.0,6.0,11,0.011,500.00000000000045,16.583719174624104,0.3870967741935484,500.00000000000045,0.5316038491051518,216.0
260.0,18.19456736586892,34.0,13.0,0.38235294117647056,0.533131319576017,445.0,6.0,12,0.012,499.99999999999955,18.19456736586892,0.38235294117647056,499.99999999999955,0.533131319576017,260.0
321.5,20.232313600583467,37.0,15.0,0.40540540540540543,0.5396205049618933,445.0,7.0,13,0.013000000000000001,499.99999999999955,20.232313600583467,0.40540540540540543,499.99999999999955,0.5396205049618933,321.5
405.0,22.708192698181442,43.0,17.0,0.3953488372093023,0.5130548988835005,445.0,7.0,14,0.014,500.00000000000045,22.708192698181442,0.3953488372093023,500.00000000000045,0.5130548988835005,405.0
534.0,26.075082298788182,48.0,19.0,0.3958333333333333,0.530902127572196,446.0,8.0,15,0.015,1499.9999999999986,26.075082298788182,0.3958333333333333,1499.9999999999986,0.530902127572196,534.0
726.0,30.403485153477522,51.0,23.0,0.45098039215686275,0.5925433021330955,446.0,10.0,16,0.016,1499.9999999999986,30.403485153477522,0.45098039215686275,1499.9999999999986,0.5925433021330955,726.0
963.5,35.02522378732689,55.0,26.0,0.4727272727272727,0.6296548084271124,447.0,11.0,17,0.017,1499.999999999999,35.02522378732689,0.4727272727272727,1499.999999999999,0.6296548084271124,963.5
1222.5,39.45295101052311,60.0,29.0,0.48333333333333334,0.6258818109125638,447.0,13.0,18,0.018000000000000002,2000.000000000001,39.45295101052311,0.48333333333333334,1500.0000000000014,0.6258818109125638,1222.5
1497.5,43.66550375572125,64.0,32.0,0.5,0.6311719821414828,447.0,15.0,19,0.019,1500.0000000000036,43.66550375572125,0.5,1500.0000000000036,0.6311719821414828,1497.5
1808.5,47.985974165932504,68.0,36.0,0.5294117647058824,0.6546089187973365,447.0,16.0,20,0.02,1499.9999999999982,47.985974165932504,0.5294117647058824,1499.9999999999982,0.6546089187973365,1808.5
2177.0,52.648290465013666,74.0,39.0,0.527027027027027,0.6800528407587019,447.0,18.0,21,0.021,2000.000000000001,52.648290465013666,0.527027027027027,2000.000000000001,0.6800528407587019,2177.0
2591.0,57.43660557874923,78.0,43.0,0.5512820512820513,0.7149913470298495,447.0,20.0,22,0.022,1500.0000000000055,57.43660557874923,0.5512820512820513,1500.0000000000055,0.7149913470298495,2591.0
3069.5,62.51566829655252,84.0,47.0,0.5595238095238095,0.7261997533900554,447.0,21.0,23,0.023,1500.0,62.51566829655252,0.5595238095238095,1500.0,0.7261997533900554,3069.5
3581.0,67.52385363482017,90.0,51.0,0.5666666666666667,0.7343896583139214,447.0,23.0,24,0.024,1999.9999999999982,67.52385363482017,0.5666666666666667,1999.9999999999982,0.7343896583139214,3581.0
4120.0,72.42752877400189,96.0,54.0,0.5625,0.7342604056551624,447.0,25.0,25,0.025,1499.9999999999982,72.42752877400189,0.5625,1499.9999999999982,0.7342604056551624,4120.0
4678.0,77.17651579509851,100.0,58.0,0.58,0.7478502547748147,447.0,26.0,26,0.026000000000000002,1500.0,77.17651579509851,0.58,1500.0,0.7478502547748147,4678.0
5252.0,81.77440974381335,104.0,62.0,0.5961538461538461,0.7514037140679795,447.0,28.0,27,0.027,2000.0000000000018,81.77440974381335,0.5961538461538461,2000.0000000000018,0.7514037140679795,5252.0
5880.0,86.52542125319447,108.0,66.0,0.6111111111111112,0.7572781407365987,447.0,30.0,28,0.028,1999.9999999999982,86.52542125319447,0.6111111111111112,1999.9999999999982,0.7572781407365987,5880.0
6541.0,91.25930014038404,112.0,70.0,0.625,0.7677824005383019,447.0,32.0,29,0.029,2000.0,91.25930014038404,0.625,2000.0,0.7677824005383019,6541.0
